14	15	16	17	18	19	20	21	22	23	5	24	25	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	Spade	DarkRed	Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	DarkGray	Spade	DarkGray	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed	Spade	DarkRed	Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	DarkGray	Spade	DarkGray	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed	Spade	DarkRed	Nail	Bar	Bar	DarkGreen	DarkGray	LightTurquiose	DarkGray	Spade	DarkGray	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed_Choice	Spade_Choice	DarkRed_Choice	Nail_Choice	Bar_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	DarkGray_Choice	Spade_Choice	DarkGray_Choice	Spade_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	Rabbit	DarkGreen	Nail	DarkBlue	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkRed	Hat	DarkRed	Hat	Spade	LightYellow	DarkRed	DarkGreen	DarkGreen	Hat	Nail	Rabbit
DarkGreen	Rabbit	DarkGreen	Nail	DarkBlue	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkRed	Hat	DarkRed	Hat	Spade	LightYellow	DarkRed	DarkGreen	DarkGreen	Hat	Nail	Rabbit
DarkGreen	Rabbit	DarkGreen	Nail	DarkBlue	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkRed	Hat	DarkRed	Hat	Spade	LightYellow	DarkRed	DarkGreen	DarkGreen	Hat	Nail	Rabbit
DarkGreen_Choice	Rabbit_Choice	DarkGreen_Choice	Nail_Choice	DarkBlue_Choice	DarkBlue_Choice	LightTurquiose_Choice	DarkRed_Choice	Diamond_Choice	DarkRed_Choice	Hat_Choice	DarkRed_Choice	Hat_Choice	Spade_Choice	LightYellow_Choice	DarkRed_Choice	DarkGreen_Choice	DarkGreen_Choice	Hat_Choice	Nail_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	UpArrow	Bar	DarkGray	Nail	Nail	LightTurquiose	UpArrow	Diamond	UpArrow	Bar	UpArrow	Bar	LightTurquiose	LightTurquiose	Spade	DarkBlue	DarkBlue	Diamond	Spade	UpArrow
Bar	UpArrow	Bar	DarkGray	Nail	Nail	LightTurquiose	UpArrow	Diamond	UpArrow	Bar	UpArrow	Bar	LightTurquiose	LightTurquiose	Spade	DarkBlue	DarkBlue	Diamond	Spade	UpArrow
