,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
0,DarkBlue,5,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_2_0_instance_beta.nii.gz']",scd_20230713,1,10
1,DarkBlue,5,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_2_1_instance_beta.nii.gz']",scd_20230713,1,10
2,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_0_instance_beta.nii.gz']",scd_20230713,0,10
3,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_1_instance_beta.nii.gz']",scd_20230713,0,10
4,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_2_instance_beta.nii.gz']",scd_20230713,0,10
5,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_3_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_3_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_3_instance_beta.nii.gz']",scd_20230713,0,10
6,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_4_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_4_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_4_instance_beta.nii.gz']",scd_20230713,0,10
7,DarkGray,7,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_2_0_instance_beta.nii.gz']",scd_20230713,1,10
8,Nail,12,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Nail_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_2_0_instance_beta.nii.gz']",scd_20230713,1,10
9,Nail,12,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Nail_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_2_1_instance_beta.nii.gz']",scd_20230713,0,10
10,Puzzle,13,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_2_0_instance_beta.nii.gz']",scd_20230713,0,10
11,Puzzle,13,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_2_1_instance_beta.nii.gz']",scd_20230713,1,10
12,Hat,14,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Hat_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_2_0_instance_beta.nii.gz']",scd_20230713,0,10
13,Hat,14,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Hat_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_2_1_instance_beta.nii.gz']",scd_20230713,0,10
14,Rabbit,27,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_2_0_instance_beta.nii.gz']",scd_20230713,0,10
15,Rabbit,27,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_2_1_instance_beta.nii.gz']",scd_20230713,1,10
16,Rabbit,27,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_0_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_1_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_2_2_instance_beta.nii.gz']",scd_20230713,0,10
17,DarkBlue_Choice,33,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
18,DarkBlue_Choice,33,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
19,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
20,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
21,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_2_instance_beta.nii.gz'],scd_20230713,0,10
22,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_3_instance_beta.nii.gz'],scd_20230713,0,10
23,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_4_instance_beta.nii.gz'],scd_20230713,0,10
24,DarkGray_Choice,35,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkGray_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
25,Nail_Choice,40,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Nail_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
26,Nail_Choice,40,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Nail_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
27,Puzzle_Choice,41,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Puzzle_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
28,Puzzle_Choice,41,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Puzzle_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
29,Hat_Choice,42,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Hat_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
30,Hat_Choice,42,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Hat_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
31,Rabbit_Choice,55,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Rabbit_Choice_0_instance_beta.nii.gz'],scd_20230713,0,10
32,Rabbit_Choice,55,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Rabbit_Choice_1_instance_beta.nii.gz'],scd_20230713,0,10
33,Rabbit_Choice,55,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Rabbit_Choice_2_instance_beta.nii.gz'],scd_20230713,0,10
34,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_0_instance_beta.nii.gz']",scd_20230713,0,19
35,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_1_instance_beta.nii.gz']",scd_20230713,0,19
36,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_2_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_2_instance_beta.nii.gz']",scd_20230713,0,19
37,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_3_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_3_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_3_instance_beta.nii.gz']",scd_20230713,0,19
38,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_4_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_4_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_4_instance_beta.nii.gz']",scd_20230713,0,19
39,DarkBlue,5,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_0_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_1_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_2_0_instance_beta.nii.gz']",scd_20230713,1,19
