,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
0,DarkBlue,5,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230713,1,10
1,DarkPurple,6,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkPurple_delay_2_instance_beta.nii.gz']",scd_20230713,0,10
2,DarkGray,7,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/DarkGray_delay_2_instance_beta.nii.gz']",scd_20230713,1,10
3,Nail,12,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Nail_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Nail_delay_2_instance_beta.nii.gz']",scd_20230713,1,10
4,Puzzle,13,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Puzzle_delay_2_instance_beta.nii.gz']",scd_20230713,0,10
5,Hat,14,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Hat_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Hat_delay_2_instance_beta.nii.gz']",scd_20230713,0,10
6,Rabbit,27,uncolored_shapes,"['subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/10/Rabbit_delay_2_instance_beta.nii.gz']",scd_20230713,0,10
7,DarkBlue_Choice,33,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkBlue_Choice_instance_beta.nii.gz'],scd_20230713,0,10
8,DarkPurple_Choice,34,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkPurple_Choice_instance_beta.nii.gz'],scd_20230713,0,10
9,DarkGray_Choice,35,colored_blob_choices,['subjects/jeeves/sessions/scd_20230713/10/DarkGray_Choice_instance_beta.nii.gz'],scd_20230713,0,10
10,Nail_Choice,40,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Nail_Choice_instance_beta.nii.gz'],scd_20230713,0,10
11,Puzzle_Choice,41,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Puzzle_Choice_instance_beta.nii.gz'],scd_20230713,0,10
12,Hat_Choice,42,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Hat_Choice_instance_beta.nii.gz'],scd_20230713,0,10
13,Rabbit_Choice,55,uncolored_shape_choices,['subjects/jeeves/sessions/scd_20230713/10/Rabbit_Choice_instance_beta.nii.gz'],scd_20230713,0,10
14,DarkTurquiose,4,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkTurquiose_delay_2_instance_beta.nii.gz']",scd_20230713,0,19
15,DarkBlue,5,colored_blobs,"['subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/jeeves/sessions/scd_20230713/19/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230713,1,19
