13	14	15	16	17	4	5	6	7	8	9	10	11	12
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Spade	UpArrow	LightYellow	LightYellow	Rabbit	Rabbit	Bar	Spade	UpArrow
Nail_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	Spade_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	Rabbit_Choice	Rabbit_Choice	Bar_Choice	Spade_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Nail	LightTurquiose	UpArrow	Diamond	Hat	Spade	LightYellow	UpArrow	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail	Nail	LightTurquiose	UpArrow	Diamond	Hat	Spade	LightYellow	UpArrow	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail	Nail	LightTurquiose	UpArrow	Diamond	Hat	Spade	LightYellow	UpArrow	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail_Choice	Nail_Choice	LightTurquiose_Choice	UpArrow_Choice	Diamond_Choice	Hat_Choice	Spade_Choice	LightYellow_Choice	UpArrow_Choice	DarkGreen_Choice	Hat_Choice	Nail_Choice	Rabbit_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Bar	LightTurquiose	LightTurquiose	Spade	Nail	Diamond	Spade	UpArrow	Bar
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Bar	LightTurquiose	LightTurquiose	Spade	Nail	Diamond	Spade	UpArrow	Bar
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Bar	LightTurquiose	LightTurquiose	Spade	Nail	Diamond	Spade	UpArrow	Bar
DarkGray_Choice	Nail_Choice	LightTurquiose_Choice	UpArrow_Choice	Diamond_Choice	Bar_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Spade_Choice	Nail_Choice	Diamond_Choice	Spade_Choice	UpArrow_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
