,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
0,AColor,1,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/AColor_delay_0_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_1_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_2_0_instance_beta.nii.gz']",vd_20230928,0,3
1,AColor,1,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/AColor_delay_0_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_1_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_2_1_instance_beta.nii.gz']",vd_20230928,0,3
2,AColor,1,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/AColor_delay_0_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_1_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_2_2_instance_beta.nii.gz']",vd_20230928,0,3
3,AColor,1,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/AColor_delay_0_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_1_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AColor_delay_2_3_instance_beta.nii.gz']",vd_20230928,0,3
4,BColor,2,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/BColor_delay_0_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_1_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_2_0_instance_beta.nii.gz']",vd_20230928,0,3
5,BColor,2,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/BColor_delay_0_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_1_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_2_1_instance_beta.nii.gz']",vd_20230928,0,3
6,BColor,2,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/BColor_delay_0_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_1_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_2_2_instance_beta.nii.gz']",vd_20230928,0,3
7,BColor,2,colored_blobs,"['subjects/validate/sessions/vd_20230928/3/BColor_delay_0_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_1_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BColor_delay_2_3_instance_beta.nii.gz']",vd_20230928,0,3
8,AShape,3,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/AShape_delay_0_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_1_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_2_0_instance_beta.nii.gz']",vd_20230928,0,3
9,AShape,3,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/AShape_delay_0_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_1_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_2_1_instance_beta.nii.gz']",vd_20230928,0,3
10,AShape,3,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/AShape_delay_0_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_1_2_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_2_2_instance_beta.nii.gz']",vd_20230928,0,3
11,AShape,3,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/AShape_delay_0_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_1_3_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/AShape_delay_2_3_instance_beta.nii.gz']",vd_20230928,0,3
12,BShape,4,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/BShape_delay_0_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BShape_delay_1_0_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BShape_delay_2_0_instance_beta.nii.gz']",vd_20230928,0,3
13,BShape,4,uncolored_shapes,"['subjects/validate/sessions/vd_20230928/3/BShape_delay_0_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BShape_delay_1_1_instance_beta.nii.gz', 'subjects/validate/sessions/vd_20230928/3/BShape_delay_2_1_instance_beta.nii.gz']",vd_20230928,0,3
