,Unnamed: 0,condition_name,condition_integer,condition_group,beta_path,session,correct,ima
0,0,DarkRed,1,colored_blobs,"['subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
1,1,DarkBlue,5,colored_blobs,"['subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
2,2,UpArrow,8,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/UpArrow_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
3,3,Nail,12,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Nail_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Nail_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Nail_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
4,4,Diamond,23,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Diamond_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Diamond_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Diamond_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
5,5,Lock,24,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/25/Lock_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Lock_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/25/Lock_delay_2_instance_beta.nii.gz']",scd_20230407,1,25
6,6,DarkRed_Choice,29,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/25/DarkRed_Choice_instance_beta.nii.gz'],scd_20230407,0,25
7,7,DarkBlue_Choice,33,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/25/DarkBlue_Choice_instance_beta.nii.gz'],scd_20230407,0,25
8,8,UpArrow_Choice,36,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/UpArrow_Choice_instance_beta.nii.gz'],scd_20230407,0,25
9,9,Nail_Choice,40,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Nail_Choice_instance_beta.nii.gz'],scd_20230407,0,25
10,10,Diamond_Choice,51,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Diamond_Choice_instance_beta.nii.gz'],scd_20230407,0,25
11,11,Lock_Choice,52,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/25/Lock_Choice_instance_beta.nii.gz'],scd_20230407,0,25
12,12,DarkRed,1,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
13,13,DarkGreen,3,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkGreen_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
14,14,DarkTurquiose,4,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
15,15,UpArrow,8,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/UpArrow_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
16,16,Bar,10,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Bar_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Bar_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Bar_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
17,17,Dodecagon,11,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Dodecagon_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
18,18,LightRed,15,colored_blobs,"['subjects/wooster/sessions/scd_20230407/21/LightRed_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/LightRed_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/LightRed_delay_2_instance_beta.nii.gz']",scd_20230407,1,21
19,19,Hourglass,22,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/21/Hourglass_delay_2_instance_beta.nii.gz']",scd_20230407,0,21
20,20,DarkRed_Choice,29,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkRed_Choice_instance_beta.nii.gz'],scd_20230407,0,21
21,21,DarkGreen_Choice,31,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkGreen_Choice_instance_beta.nii.gz'],scd_20230407,0,21
22,22,DarkTurquiose_Choice,32,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/DarkTurquiose_Choice_instance_beta.nii.gz'],scd_20230407,0,21
23,23,UpArrow_Choice,36,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/UpArrow_Choice_instance_beta.nii.gz'],scd_20230407,0,21
24,24,Bar_Choice,38,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/Bar_Choice_instance_beta.nii.gz'],scd_20230407,0,21
25,25,Dodecagon_Choice,39,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/Dodecagon_Choice_instance_beta.nii.gz'],scd_20230407,0,21
26,26,LightRed_Choice,43,colored_blob_choices,['subjects/wooster/sessions/scd_20230407/21/LightRed_Choice_instance_beta.nii.gz'],scd_20230407,0,21
27,27,Hourglass_Choice,50,uncolored_shape_choices,['subjects/wooster/sessions/scd_20230407/21/Hourglass_Choice_instance_beta.nii.gz'],scd_20230407,0,21
28,28,DarkBlue,5,colored_blobs,"['subjects/wooster/sessions/scd_20230407/14/DarkBlue_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/DarkBlue_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/DarkBlue_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
29,29,Nail,12,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/14/Nail_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Nail_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Nail_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
30,30,LightGreen,17,colored_blobs,"['subjects/wooster/sessions/scd_20230407/14/LightGreen_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightGreen_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightGreen_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
31,31,LightTurquiose,18,colored_blobs,"['subjects/wooster/sessions/scd_20230407/14/LightTurquiose_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightTurquiose_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightTurquiose_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
32,32,LightBlue,19,colored_blobs,"['subjects/wooster/sessions/scd_20230407/14/LightBlue_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightBlue_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/LightBlue_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
33,33,Lock,24,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/14/Lock_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Lock_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Lock_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
34,34,Sawblade,26,uncolored_shapes,"['subjects/wooster/sessions/scd_20230407/14/Sawblade_delay_0_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Sawblade_delay_1_instance_beta.nii.gz', 'subjects/wooster/sessions/scd_20230407/14/Sawblade_delay_2_instance_beta.nii.gz']",scd_20230407,1,14
