14	15	16	17	18	19	20	21	22	23	5	24	25	26	27	28	29	30	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	Nail	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	LightTurquiose	Spade	DarkBlue	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed	Nail	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	LightTurquiose	Spade	DarkBlue	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed	Nail	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	LightTurquiose	Spade	DarkBlue	DarkRed	DarkGray	Bar	LightTurquiose	DarkGray	UpArrow	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	LightPurple	Bar	Spade
DarkRed_Choice	Nail_Choice	Nail_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	Diamond_Choice	Diamond_Choice	LightTurquiose_Choice	Spade_Choice	DarkBlue_Choice	DarkRed_Choice	DarkGray_Choice	Bar_Choice	LightTurquiose_Choice	DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	Nail	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkGreen	UpArrow	Hat	Hat	Spade	DarkBlue	LightTurquiose	LightPurple	Nail	UpArrow	Nail	Spade	LightYellow	DarkRed	DarkGreen	Hat	Hat	Nail	Rabbit
DarkGreen	Nail	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkGreen	UpArrow	Hat	Hat	Spade	DarkBlue	LightTurquiose	LightPurple	Nail	UpArrow	Nail	Spade	LightYellow	DarkRed	DarkGreen	Hat	Hat	Nail	Rabbit
DarkGreen	Nail	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	DarkGreen	UpArrow	Hat	Hat	Spade	DarkBlue	LightTurquiose	LightPurple	Nail	UpArrow	Nail	Spade	LightYellow	DarkRed	DarkGreen	Hat	Hat	Nail	Rabbit
DarkGreen_Choice	Nail_Choice	Nail_Choice	DarkBlue_Choice	LightTurquiose_Choice	DarkRed_Choice	Diamond_Choice	DarkGreen_Choice	UpArrow_Choice	Hat_Choice	Hat_Choice	Spade_Choice	DarkBlue_Choice	LightTurquiose_Choice	LightPurple_Choice	Nail_Choice	UpArrow_Choice	Nail_Choice	Spade_Choice	LightYellow_Choice	DarkRed_Choice	DarkGreen_Choice	Hat_Choice	Hat_Choice	Nail_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkGray	DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Rabbit	DarkRed	UpArrow	Bar	Rabbit	DarkGray	Rabbit	UpArrow	LightPurple	DarkGray	Spade	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Diamond	Spade	UpArrow
Bar	DarkGray	DarkGray	Nail	LightTurquiose	UpArrow	Diamond	Rabbit	DarkRed	UpArrow	Bar	Rabbit	DarkGray	Rabbit	UpArrow	LightPurple	DarkGray	Spade	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Diamond	Spade	UpArrow
